AcX,AcY,AcZ,GyX,GyY,GyZ,time
-1308,-20216,-1888,-4912,10399,-17785,92856
-2772,-19652,-2020,-4869,9675,-15982,92877
-2704,-18980,-2452,-4863,8755,-13758,92898
-2032,-18652,-2024,-5388,8616,-11332,92919
-1468,-18120,-552,-5119,8881,-9422,92940
-1572,-16356,-360,-4879,9992,-7426,92961
-2172,-16476,292,-4382,11212,-5786,92982
-2052,-15844,-32,-3826,11283,-4378,93003
-2928,-14780,-220,-3641,12114,-2642,93024
-5780,-14792,-4,-3576,10451,-1103,93045
-6904,-15192,-20,-3127,8667,877,93066
-8552,-16248,-1748,-4356,7078,3953,93087
-13016,-17612,-1532,-768,4380,9171,93108
13728,-12276,-3068,-581,-17530,2071,93129
18172,-18464,-232,-1475,-2980,5427,93150
-2400,-20084,-3588,-2686,5112,10567,93173
-2016,-25296,832,645,-3050,10103,93194
4436,-12488,-3504,-3560,1458,10281,93215
-2708,-17480,-2192,-1884,446,7732,93236
-316,-16232,-4712,-784,-3277,6054,93257
2864,-16280,-2796,-618,-1394,4787,93278
2800,-17300,-2020,-1073,1734,4320,93299
928,-16940,-1736,-1639,2217,4217,93320
-720,-16512,-1604,-1752,142,3508,93341
324,-17500,-3252,-1909,-1541,2346,93362
1384,-16208,-3476,-1373,-1225,2197,93383
376,-16164,-2096,-1362,-1378,1591,93404
1388,-16208,-3036,-1445,-1213,1414,93425
984,-16008,-2932,-1121,-567,1632,93446
952,-16032,-3124,-960,-886,1853,93467
952,-15880,-2916,-896,-886,2293,93488
812,-15928,-3156,-619,-868,2502,93509
400,-16252,-2588,-379,-1201,2618,93530
924,-16156,-3348,-443,-1238,2993,93551
1384,-17104,-1220,-110,-1756,3058,93572
-80,-16284,-3100,-27,-1785,3401,93593
332,-16420,-3532,219,-2034,3861,93614
236,-16272,-3156,590,-2339,4974,93635
312,-16384,-3752,1075,-2749,6252,93656
0,-16524,-3500,1960,-2418,8200,93677
-340,-16692,-3336,2410,-3157,9969,93698
-792,-17016,-2512,3031,-1942,12080,93719
3104,-15232,-7724,4186,-2029,5638,93740
-32,-15036,-844,2435,-1328,5901,93761
-7836,-16404,-1980,3743,-686,9985,93782
-2444,-18924,-1892,4330,-3930,11559,93803
-676,-19452,-2844,5057,-3102,12655,93824
-2456,-20456,-2152,5907,-2777,13732,93845
-2304,-19684,-1244,6178,-4150,14638,93866
44,-20240,-1288,6498,-4428,15615,93887
2028,-21652,-2308,7381,-3308,17712,93908
1884,-22540,-4324,7986,-520,20605,93929
-1836,-24088,-3028,7437,-2118,20941,93950
512,-27544,-3300,8456,-7628,20197,93971
3912,-27516,-4476,9757,-9294,20156,93992
1996,-21620,-7820,7558,-4576,22626,94013
-4768,-12252,-7788,6006,3913,20679,94034
-7880,-12212,-3656,3492,1905,13704,94055
-2624,-12576,-1216,1079,-9247,875,94076
9888,-5452,-2420,2450,-16290,-8536,94097
8104,-4040,-952,-1905,-4935,-12924,94118
816,-5988,-276,-4480,-340,-18910,94139
464,-8488,364,-6328,-11,-22659,94160
1676,-10452,-1500,-8731,1663,-27628,94181
3180,-12164,-916,-11509,5637,-32451,94202
-1116,-16996,304,-13111,9907,-32768,94223
-4300,-19460,1436,-12733,9776,-32768,94244
-3668,-20964,288,-12303,9430,-32768,94265
-4004,-22556,-1592,-12541,10347,-32768,94286
-5036,-23792,-2772,-12789,9477,-32768,94307
-5388,-24204,-3388,-13014,7052,-32768,94328
-5580,-25028,-3548,-13451,5728,-32768,94349
-6844,-27680,-3096,-13272,6645,-32768,94370
-9204,-28540,-104,-10363,7113,-29575,94391
-11540,-25624,1532,-7062,6610,-22769,94412
-13400,-20264,-572,-5889,7671,-15097,94433
-18696,-17444,1056,-3833,7212,-4112,94454
-18108,-25348,-1360,-4219,7610,10345,94475
-21476,-20160,1596,1023,4187,20179,94496
16268,-19948,-8032,3586,-18807,14627,94519
27340,-14736,-4432,2083,-2206,10997,94541
3144,-17236,480,6642,10884,22802,94562
-5872,-16912,-8316,-2919,11768,26570,94583
-2096,-19476,1152,2747,3213,16599,94604
